Gene stable ID	Gene name	Protein stable ID
ENSDARG00000042018	fhl2a	ENSDARP00000147604
ENSDARG00000036943	golph3l	ENSDARP00000122107
ENSDARG00000036943	golph3l	ENSDARP00000145359
ENSDARG00000036943	golph3l	ENSDARP00000112785
ENSDARG00000015476	iqch	ENSDARP00000074143
ENSDARG00000015476	iqch	ENSDARP00000117003
ENSDARG00000015476	iqch	ENSDARP00000115882
ENSDARG00000089954	tdrd6b	ENSDARP00000127821
ENSDARG00000089954	tdrd6b	ENSDARP00000150080
ENSDARG00000089954	tdrd6b	ENSDARP00000144434
ENSDARG00000089954	tdrd6b	ENSDARP00000155558
ENSDARG00000002355	shpk	ENSDARP00000129532
ENSDARG00000002355	shpk	ENSDARP00000027634
ENSDARG00000069537	si:dkey-238c7.16	ENSDARP00000092066
ENSDARG00000044457	gfi1ab	ENSDARP00000065138
ENSDARG00000087798	pdyn	ENSDARP00000121326
ENSDARG00000087798	pdyn	ENSDARP00000119382
ENSDARG00000101106	si:ch73-109d9.3	ENSDARP00000136614
ENSDARG00000093521	b3gnt3.3	ENSDARP00000120172
ENSDARG00000045443	agtr1b	ENSDARP00000124668
ENSDARG00000045443	agtr1b	ENSDARP00000066833
ENSDARG00000058958	si:ch73-106l15.3	ENSDARP00000146070
ENSDARG00000058958	si:ch73-106l15.3	ENSDARP00000152276
ENSDARG00000058958	si:ch73-106l15.3	ENSDARP00000076333
ENSDARG00000019293	tfdp1a	ENSDARP00000072266
ENSDARG00000019293	tfdp1a	
ENSDARG00000019293	tfdp1a	ENSDARP00000105214
ENSDARG00000019293	tfdp1a	ENSDARP00000112589
ENSDARG00000094455	si:dkey-125h23.1	
ENSDARG00000097849	si:ch211-72a16.11	
ENSDARG00000078167	si:dkeyp-100h4.1	ENSDARP00000150324
ENSDARG00000078167	si:dkeyp-100h4.1	ENSDARP00000093724
ENSDARG00000078167	si:dkeyp-100h4.1	ENSDARP00000152367
ENSDARG00000078167	si:dkeyp-100h4.1	ENSDARP00000149813
ENSDARG00000078167	si:dkeyp-100h4.1	ENSDARP00000119068
ENSDARG00000115890	si:dkey-1b17.9	ENSDARP00000136396
ENSDARG00000101085	ss18l2	
ENSDARG00000101085	ss18l2	ENSDARP00000141103
ENSDARG00000007250	use1	ENSDARP00000024706
ENSDARG00000007250	use1	ENSDARP00000105274
ENSDARG00000113690	si:ch211-223g7.6	ENSDARP00000138756
ENSDARG00000113690	si:ch211-223g7.6	ENSDARP00000133367
ENSDARG00000113690	si:ch211-223g7.6	ENSDARP00000141721
ENSDARG00000113690	si:ch211-223g7.6	ENSDARP00000151186
ENSDARG00000011449	fes	ENSDARP00000123707
ENSDARG00000011449	fes	ENSDARP00000147268
ENSDARG00000011449	fes	
ENSDARG00000011449	fes	ENSDARP00000124270
ENSDARG00000099200	zgc:123103	ENSDARP00000135286
ENSDARG00000099200	zgc:123103	
ENSDARG00000040250	cd2	ENSDARP00000126699
ENSDARG00000044753	idh3b	ENSDARP00000156480
ENSDARG00000044753	idh3b	ENSDARP00000124593
ENSDARG00000006560	irf4a	ENSDARP00000005897
ENSDARG00000099086	si:ch211-69b22.4	
ENSDARG00000099086	si:ch211-69b22.4	
ENSDARG00000099086	si:ch211-69b22.4	
ENSDARG00000074302	gpr183b	ENSDARP00000099273
ENSDARG00000061371	cdh18a	ENSDARP00000026011
ENSDARG00000061371	cdh18a	ENSDARP00000149550
ENSDARG00000061371	cdh18a	ENSDARP00000133815
ENSDARG00000061371	cdh18a	ENSDARP00000089931
ENSDARG00000063574	mtg2	ENSDARP00000109087
ENSDARG00000086471	pkig	ENSDARP00000118275
ENSDARG00000086471	pkig	
ENSDARG00000086471	pkig	ENSDARP00000107936
ENSDARG00000002377	mief2	ENSDARP00000114049
ENSDARG00000002377	mief2	ENSDARP00000094402
ENSDARG00000002377	mief2	ENSDARP00000111312
ENSDARG00000052129	boka	ENSDARP00000123964
ENSDARG00000052129	boka	ENSDARP00000141657
ENSDARG00000098029	ciroz	ENSDARP00000127626
ENSDARG00000097268	si:ch73-171a6.2	
ENSDARG00000059773	srcin1a	ENSDARP00000077877
ENSDARG00000059773	srcin1a	ENSDARP00000118257
ENSDARG00000059773	srcin1a	ENSDARP00000143893
ENSDARG00000095453	si:rp71-17i16.6	ENSDARP00000142324
ENSDARG00000097673	si:ch73-267i21.1	
ENSDARG00000056740	tmeff1b	ENSDARP00000073739
ENSDARG00000033446	tap2t	ENSDARP00000039509
ENSDARG00000033446	tap2t	ENSDARP00000127120
ENSDARG00000099899	si:dkeyp-51g9.4	ENSDARP00000130783
ENSDARG00000077253	alkbh6	
ENSDARG00000077253	alkbh6	ENSDARP00000098832
ENSDARG00000096836	si:ch211-247l22.4	
ENSDARG00000105063	si:rp71-1l17.2	ENSDARP00000138070
ENSDARG00000105063	si:rp71-1l17.2	ENSDARP00000153128
ENSDARG00000105063	si:rp71-1l17.2	ENSDARP00000132545
ENSDARG00000105063	si:rp71-1l17.2	ENSDARP00000144713
ENSDARG00000105063	si:rp71-1l17.2	ENSDARP00000150493
ENSDARG00000100694	tnnt2b	ENSDARP00000130469
ENSDARG00000093799	setbp1	ENSDARP00000133167
ENSDARG00000093799	setbp1	ENSDARP00000112840
ENSDARG00000092995	si:dkeyp-73g8.7	
ENSDARG00000052851	golph3a	ENSDARP00000051069
ENSDARG00000052851	golph3a	ENSDARP00000069267
ENSDARG00000009844	dusp23a	ENSDARP00000011527
ENSDARG00000018871	henmt1	
ENSDARG00000018871	henmt1	
ENSDARG00000018871	henmt1	ENSDARP00000004251
ENSDARG00000102608	zgc:109986	
ENSDARG00000102608	zgc:109986	ENSDARP00000134216
ENSDARG00000102608	zgc:109986	ENSDARP00000134304
ENSDARG00000003818	prkag1	ENSDARP00000016733
ENSDARG00000019156	haus5	ENSDARP00000017340
ENSDARG00000038615	pip4p1a	ENSDARP00000115253
ENSDARG00000092774	tars3	ENSDARP00000115950
ENSDARG00000092774	tars3	ENSDARP00000138354
ENSDARG00000092082	si:ch1073-44m10.1	
ENSDARG00000092082	si:ch1073-44m10.1	
ENSDARG00000087457	ecscr	ENSDARP00000111403
ENSDARG00000034734	med6	ENSDARP00000044114
ENSDARG00000034734	med6	ENSDARP00000118786
ENSDARG00000079283	si:ch211-247j9.1	ENSDARP00000102953
ENSDARG00000079283	si:ch211-247j9.1	ENSDARP00000132315
ENSDARG00000079283	si:ch211-247j9.1	ENSDARP00000128607
ENSDARG00000021913	ak9	ENSDARP00000118427
ENSDARG00000021913	ak9	ENSDARP00000029406
ENSDARG00000105120	gab2	ENSDARP00000130726
ENSDARG00000098157	si:dkeyp-30d6.4	
ENSDARG00000102929	zgc:101715	
ENSDARG00000102929	zgc:101715	ENSDARP00000142858
ENSDARG00000102929	zgc:101715	ENSDARP00000130573
ENSDARG00000073688	nav2a	ENSDARP00000156512
ENSDARG00000073688	nav2a	ENSDARP00000102414
ENSDARG00000073688	nav2a	ENSDARP00000142799
ENSDARG00000073688	nav2a	ENSDARP00000142926
ENSDARG00000073688	nav2a	ENSDARP00000142792
ENSDARG00000073688	nav2a	ENSDARP00000142652
ENSDARG00000073688	nav2a	ENSDARP00000152052
ENSDARG00000073688	nav2a	ENSDARP00000148417
ENSDARG00000073688	nav2a	ENSDARP00000153160
ENSDARG00000103180	si:dkey-207c17.1	
ENSDARG00000090814	si:dkey-18a10.3	ENSDARP00000115279
ENSDARG00000027141	ube2l3b	ENSDARP00000090376
ENSDARG00000027141	ube2l3b	ENSDARP00000008064
ENSDARG00000027141	ube2l3b	ENSDARP00000116310
ENSDARG00000102434	il12rb1	ENSDARP00000133798
ENSDARG00000099967	si:ch73-160p18.5	
ENSDARG00000099967	si:ch73-160p18.5	
ENSDARG00000099967	si:ch73-160p18.5	
ENSDARG00000099967	si:ch73-160p18.5	
ENSDARG00000099967	si:ch73-160p18.5	
ENSDARG00000095872	si:ch211-209l18.5	
ENSDARG00000052142	acvr1bb	ENSDARP00000068426
ENSDARG00000052142	acvr1bb	ENSDARP00000129240
ENSDARG00000052142	acvr1bb	ENSDARP00000127809
ENSDARG00000093111	si:ch211-209l18.2	ENSDARP00000128163
ENSDARG00000093111	si:ch211-209l18.2	ENSDARP00000127975
ENSDARG00000093111	si:ch211-209l18.2	ENSDARP00000117766
ENSDARG00000069758	rbm44	ENSDARP00000092541
ENSDARG00000069758	rbm44	
ENSDARG00000069758	rbm44	ENSDARP00000115046
ENSDARG00000069758	rbm44	ENSDARP00000113039
ENSDARG00000039218	gpr101	ENSDARP00000142379
ENSDARG00000010717	chchd10	ENSDARP00000119582
ENSDARG00000010717	chchd10	ENSDARP00000005265
ENSDARG00000020449	yipf3	ENSDARP00000025545
ENSDARG00000038792	klf17	ENSDARP00000056654
ENSDARG00000095204	si:ch211-197g22.1	
ENSDARG00000095204	si:ch211-197g22.1	
ENSDARG00000095204	si:ch211-197g22.1	
ENSDARG00000095204	si:ch211-197g22.1	
ENSDARG00000017163	sinup	ENSDARP00000019122
ENSDARG00000017163	sinup	ENSDARP00000119585
ENSDARG00000044015	gfra2b	ENSDARP00000114462
ENSDARG00000044015	gfra2b	ENSDARP00000074879
ENSDARG00000101456	acp5b	ENSDARP00000141681
ENSDARG00000076801	arap3	
ENSDARG00000076801	arap3	ENSDARP00000142557
ENSDARG00000003206	chchd6a	
ENSDARG00000003206	chchd6a	ENSDARP00000143276
ENSDARG00000003206	chchd6a	ENSDARP00000112370
ENSDARG00000003206	chchd6a	ENSDARP00000116560
ENSDARG00000003206	chchd6a	
ENSDARG00000003206	chchd6a	
ENSDARG00000105543	si:dkey-78a14.6	
ENSDARG00000078686	arl8a	ENSDARP00000124659
ENSDARG00000017835	brf1a	ENSDARP00000029653
ENSDARG00000017835	brf1a	ENSDARP00000132978
ENSDARG00000017835	brf1a	ENSDARP00000114528
ENSDARG00000044318	itgb7	ENSDARP00000065056
ENSDARG00000076025	dgkzb	ENSDARP00000129673
ENSDARG00000009253	rtraf	
ENSDARG00000009253	rtraf	ENSDARP00000003814
ENSDARG00000009253	rtraf	
ENSDARG00000009253	rtraf	
ENSDARG00000062549	acmsd	ENSDARP00000114101
ENSDARG00000062549	acmsd	ENSDARP00000141463
ENSDARG00000037262	cdkn2a/b	ENSDARP00000054208
ENSDARG00000037262	cdkn2a/b	ENSDARP00000145630
ENSDARG00000075855	adgre10	ENSDARP00000115143
ENSDARG00000037555	atoh8	ENSDARP00000054688
ENSDARG00000038976	pdcd7	ENSDARP00000056892
ENSDARG00000038976	pdcd7	ENSDARP00000142547
ENSDARG00000039349	qrfpra	ENSDARP00000115232
ENSDARG00000039349	qrfpra	ENSDARP00000041025
ENSDARG00000036588	mhc1zba	ENSDARP00000053152
ENSDARG00000098257	pcdh15a	ENSDARP00000149410
ENSDARG00000098257	pcdh15a	ENSDARP00000130788
ENSDARG00000098257	pcdh15a	ENSDARP00000135210
ENSDARG00000059351	hnrnpa3	ENSDARP00000119517
ENSDARG00000059351	hnrnpa3	ENSDARP00000112646
ENSDARG00000059351	hnrnpa3	ENSDARP00000115193
ENSDARG00000059351	hnrnpa3	ENSDARP00000093709
ENSDARG00000105553	si:ch211-105d1.4	
ENSDARG00000078717	itga8	ENSDARP00000059037
ENSDARG00000078717	itga8	ENSDARP00000118449
ENSDARG00000024219	cdk5rap2	ENSDARP00000028290
ENSDARG00000102612	slc15a4	ENSDARP00000132430
ENSDARG00000075818	dok2	
ENSDARG00000075818	dok2	ENSDARP00000120631
ENSDARG00000075818	dok2	ENSDARP00000153584
ENSDARG00000075818	dok2	ENSDARP00000118399
ENSDARG00000075818	dok2	ENSDARP00000146433
